PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
SR ZA PROIZVODNJU PREDMETA OD METALA I GUME VERCOM VEREŠ MIROSLAV PR STARA PAZOVA,VERCOM,VERE MIŠĆEVIĆ 43 22300 Stara Pazova,56718346,103505836,325-9500600011356-29,Preduzetnik,5.10.2004.,Proizvodnja alata,(022) 313-249,srvercom@gmail.com,,Firma se bavi uslužnom delatnošću proizvodnje svih vrsta alata od metala po porudžbini. Kategorije:Alat za obradu metalaAlati i mašineAlati i opremaBravarija,LIVNICE,Vlasnik,Miroslav Vereš,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,13-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SAMOSTALNA LIVAČKA RADNJA VITKO PETKOVIĆ RUŽICE PR MANOJLOVCE,VITKO,16201 MANOJLOVCE Jablanički okrug,56341293,103721611,250-1220000135040-63,Preduzetnik,15.2.2005.,Livenje gvožđa,016 / 250-961016/ 252-951,, metalkomerc@live.com,U sklopu „Metalkomerc-a“ posluje livnica „Vitko“.Livnica lije proizvode od sivog liva i aluminijuma. Njeni proizvodi su: zupčaste spojnice i ogrlice za PVC  cevi šaht poklopaci razne ulične - kanalske reštke sa ramom i bez rama hidrantne kape slivnike olučnjake penjalice prirubnice u žibo spojnicama rezervne delove za poljomehanizaciju rešetke i rezervne delove za sve peći na čvrsto gorivo tegove za teretane radijatorske čepove i redukcije.,LIVNICE,Zastupnik, PETKOVIĆ RUŽICA,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,06-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AKCIONARSKO DRUŠTVO WOKSAL AD UŽICE,WOKSAL AD UŽICE,MILOŠA OBRENOVIĆA 2 31000 Užice,07319568,101779570,205-0070100311532-76,Akcionarsko društvo,24.8.1998.,Livenje ostalih obojenih metala,,http:,,Specijalizovana je za proizvodnju reznog alata od tvrdog metala za mašinsku obradu rudarstvo i alata za specijalnu namenu.Proizvodni program:Rezne pločice (Izmenljive pločice za struganje i glodanje Pločice za lemljenje od tvrdog metala Izmenljive pločice za rudarstvo i obradu drveta)Alati (alati za duboko izvlačenje alati za istiskivanje i presovanje alati za plastično oblikovanje metala kovanjem alati za plastično oblikovanje metala vučenjem) Čekići i trnoviVisokonaponski kontaktiSpecijalni alati (specijalni proizvodi od tvrdog metala ili čelika koji se primenjuju u različitim oblastima industrije),LIVNICE,Generalni direktor,Ljubiša Stevanović,,031 563 469031 563 394062 80 68 263,lj.stevanovic@woksal.com,Tehnički sector,Jasmina Rosić,,031 563 407062 80 68 247,j.petrovic@woksal.com,Direktor kvaliteta,,,,,Project manager,,,,,10-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
4M SPECIJALNI ALATI DOO NOVI BANOVCI,4M SPECIJALNI ALATI,Aleksandra Milenkovića bb 22303 BANOVCI DUNAV,20593385,106398671,340-0000013060239-35,Društvo sa ograničenom odgovornošću,11.12.2009.,Proizvodnja ostalih metalnih proizvoda,00 381 22 342 939,, office@4m.rs,Osnovni proizvodni program kompanije je proizvodnja specijalnih alata za automehaničare ali rade i uslužnu mašinsku obradu. Proizvode opremu i alate koji se koriste u auto-servisima za popravku i održavanje automobila: za demontažu i montažu delova zatezanje kaiševa fiksiranje delova sklopa prilikom zamene…,MASINSKA OBRADA METALA,Generalni direktor,Milorad Četnik,,(+381) 63 661 087,milorad.cetnik@4m.rs,Tehnički direktor,Momčilo Četnik,,+ 381 63 802 49 11,momcilo.cetnik@4m.rs,Mechanical Project Engineer,Aleksandar Matić,matic,,,Direktor prodaje,Ivan Vujičić,,(+381) 63 359 553,prodaja@4m.rs,03-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I PROMET DOO A.S.B. DONJI RIBNIK,DOO A.S.B. DONJI RIBNIK,DONjI RIBNIK 40A 37243 POČEKOVINA,17186949,101307060,220-0000000158867-52,Društvo sa ograničenom odgovornošću,12.1.1998.,Mašinska obrada metala,(381) (0)37 731-250 (381) (0)37 731-800,, office@asbalati.rs,Bave se procesom od konstrukcije do gotovog alata za brizganje i izradu delova pod pritiskom. Izrada / obrada 3D-površinskog modeliranjaPonovna izrada konstrukcija iz 2D i 3D oblasti prema Vašim zamislimaIzrada 2D i 3D NC-programa pa sve do HSC-programiranjaIzmena i dopuna postojećih konstrukcijaAžuriranje i optimiranje konstrukcija koje već postojeIzrada 2D konstrukcija i NC-programaIzrada crteža koji su uskladu sa normama na osnovu njihovih konstrukcionih podatakaExport / import za sve standardne formate (IGES VDAFS STEP STL DXF DWG)USLUGE:Projektovanje i izrada alata za livene brizganje štancovanje i sl.Remont alatnih mašinaProdaja alatnih mašinaIzrada proizvoda brizganje plastikeUsluge mašinske obradeRemontuju sve tipove mašina za obradu metala....,MASINSKA OBRADA METALA,Vlasnici,Saša AtanaskovićLjubiša Atanasković,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,07-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ABSOLUTE CNC DOO FUTOG,ABSOLUTE CNC DOO FUTOG,Carice Milice 158 21410 Futog,21374237,110668713,265-2050310000703-77,Društvo sa ograničenom odgovornošću,29.3.2018.,Mašinska obrada metala,+381 21 3012 035,, office@absolutecnc.rs,Delovi koje proizvode se pretežno koriste u automobilskoj industriji avio industriji i građevinskoj industriji.Izrađuju i obrađuju pozicije na CNC obradnim centrima i strugovima koje izvoze na nemačko tržište.,MASINSKA OBRADA METALA,Operations Director,Damir Nađ,/damir-nadj,+381 63 1651 984,damir.nadj@absolutecnc.rs,Direktor,Maksim Polovina,/maksim-polovina,,,Direktor kvaliteta,,,,,Project manager,,,,,09-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SAMOSTALNA METALOPRERAĐIVAČKA RADNJA ADAMET IGOR PERGEL PREDUZETNIK ADA,SAMOSTALNA METALOPRERAĐIVAČKA RADNJA ADAMET IGOR PERGEL PREDUZETNIK ADA,JNA 54 24430 Ada,50075818,100982622,325-9500700018460-08,Preduzetnik,1.10.1991.,Mašinska obrada metala,+381 63 / 509-717,, info@adamet.rs,Glavna delatnost firme je prerada metala na univerzalnim i CNC mašinama: struganje glodanje okruglo brušenje ravno brušenje bušenje itd. Proizvode delova za alatne mašine po narudžbini.,MASINSKA OBRADA METALA,Direktor,Pergel Igor,,,igor@adamet.rs,Zamenik direktorai cnc operater,Vuksić Damir,,,damir@adamet.rs,Direktor kvaliteta,,,,,Project manager,,,,,03-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I TRGOVINU AGROMARKET DOO NIŠKA BANJA,AGROMARKET DOO NIŠKA BANJA,Železnička 7 18205 Niška Banja,07930593,101531649,330-0000003002376-90,Društvo sa ograničenom odgovornošću,22.2.1992.,Proizvodnja ostalih pumpi i kompresora,+(381) 18 4549040,, office@agromarket-nis.com,Kompanija se bavi mašinskom obradom metala izradom mašinskih delova procesnih linija izradom komponenti i sklopova mašina. Osnovna delatnost firme je mašinska obrada složenih elemenata CNC mašinska obrada izrada i servis reduktora proizvodnja delova za procesnu opremu i rudarsku industriju izrada sklopova podsklopova i kompletnih mašina kao i izrada varenih konstrukcije sa obradom.USLUGE:Mašinska obrada metalaIzrada alata za plastiku gumu i legure metalaIzrada prototipaIzrada zavarenih kostrukcijaIzrada reduktoraIzrada procesne tehnike,MASINSKA OBRADA METALA,Vlasnik i direktor,Nebojša Manojlović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,23-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SAMOSTALNA ZANATSKA RADNJA ALATI TADIĆ RADOSLAV TADIĆ PREDUZETNIK KRAGUJEVAC,ALATI TADIĆ,DRAGOLJUBA MILOVANOVIĆA BENE 115 34000 KRAGUJEVAC,55472840,101883370,150-0071700031777-42,Preduzetnik,6.3.2002.,Mašinska obrada metala,+381 34 32 10 87,alatitadic@gmail.com,,,MASINSKA OBRADA METALA,Vlasnik,Radoslav Tadić,,+381 65 86 81 700,alatitadic@gmail.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,24-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DOO ALATNICA-BOKAN R&M PREDUZEĆE ZA PROIZVODNJU TRGOVINU I USLUGE FUTOG,DOO ALATNICA-BOKAN R&M FUTOG,Industrijska 82 21410 Futog,08762724,100456566,205-0070100333633-24,Društvo sa ograničenom odgovornošću,11.7.2002.,Mašinska obrada metala,+381 21 897 213+381 21 892 196+381 21 897 138+381 63 508 676+381 64 147 8966,, alatbokan@mts.rs,USLUGE:IZRADA ALATA ZA VULKANIZACIJU GUME MAŠINSKA OBRADA METALA I PLASTIKE GUMARSKO TEHNIČKA OPREMATERMIČKA OBRADAPLASTIFIKACIJA I PESKARENJE,MASINSKA OBRADA METALA,General menager,Milan Bokan,https://www.linkedin.com/in/milan-bokan,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,20-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ALATPLAST DOO ZA PROIZVODNJU ALATA SUBOTICA,ALATPLAST DOO SUBOTICA,ALBE FRANCIŠKOVIĆA 26 24000 Subotica,20074914,104042170,325-9601600004946-33,Društvo sa ograničenom odgovornošću,31.8.2005.,Mašinska obrada metala,+381 24 4561 311+381 63 838 0 164,, alatplast@open.telekom.rs,PROIZVODI:štanc alatišpric alatiPET programmašinski delovialati za izvlačenje aluminijumske folijealati za vakumiranjealati za program vetrogeneratora.,MASINSKA OBRADA METALA,Vlasnik,Losip Dulić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,11-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROMET ROBA I USLUGE ALEDJO DOO BORČA,ALEDJO DOO BEOGRAD BORČA,BORČANSKIH ŽRTAVA 1914 53 11211 Borča Beograd,20193778,104610306,840-0000030665763-64,Društvo sa ograničenom odgovornošću,25.8.2006.,Mašinska obrada metala,+ 381 11 33 22 486+ 381 64 28 28 069,, office@aledjo.rs,Specijalnost firme ALEDJO DOO su raznovrsnost usluga-izrade pojedinačnih i maloserijskih delova iz oblasti održavanja. Postoji niz projekata na kojima firma radi kao što su transportni sistemi sistemi prenosa snage prehrambena i laboratorijska oprema delovi iz auto industije delovi poljoprivredne mehanizacije sistemi konstrukcija elementi raznih postrojenja i utenzilija. Specijalizovali su se za izradu novih delova kao što su delovi za rendgen mašine delovi mašina za preradu voća i povrća delovi mašina za industrijsku automatizaciju.USLUGE:CNC mašinska obrada (izrada delova u celosti i komponenti kao i obrada-dorada postojećih delova. Izrađujemo delove za razne industrije potrebe raznih instituta medicinskih uređaja mikroskopa rendgena termalnih i termovizijskih sistema kamera i nadzornih sistema (infrared vidljivosti)Obrada struganjemObrada glodanjem,MASINSKA OBRADA METALA,Vlasnici,Alen ObradovićSnežana Obradović,,+ 381 65 28 28 069,,Izvršni direktor,Snežana Obradović,https://www.linkedin.com/in/snezana-obradovic-124220190,+ 381 64 28 28 069,,Direktor kvaliteta,,,,,Project manager,Marija Obradović,https://www.linkedin.com/in/marija-obradović-3533a01a2,,,22-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU PROMET I USLUGE ALFA TECHNICS SVILAJNAC,ALFA TECHNICS DOO SVILAJNAC,Kneza Miloša 61 35210 SVILAJNACDr. Zorana Đinđića 24 34000 KRAGUJEVAC,20701579,106894906,165-0007009077558-86,Društvo sa ograničenom odgovornošću,31.12.2010.,Mašinska obrada metala,+381(0) 35 815 07 00,, ; office@alfatechnics.net,PROIZVODNI PROGRAM:Procesna oprema (proizvodi procesnu opremu najrazličitijih vrsta i namena. Od konvejera transportera transportnih traka kranskih staza itd.)Specijalni proizvodni alatiKontejneri za transport robeTransportni sistemi – konvejeriRadne stanicePlatforme (rampe) po želji klijentaAerodromski sistemi za ukrcavanje putnika – stepenice i rotondeZvučno-izolovane kabine za testiranje automobila u fabrikama automobileKranovi i kranske šine za različite usluge u zavisnosti od želje klijentaZaštitne ograde na mostovima i auto-putevimaUSLUGE:Zavarivanje različitih konstrukcija od čelika i kombinacijom inox-čelikZavarivanje metalnih konstrukcija i mašinska obrada3D ModeliranjeSečenje plazmomLasersko sečenjeSečenje gasomCNC probijanjeSavijanjeMašinska obradaPeskarenje materijala pre procesa proizvodnjeFarbanje konstrukcija nakon procesa proizvodnje,MASINSKA OBRADA METALA,Direktor,Dragoljub RadulovićZastupnik,,,,Head of the service for production planning and monitoring,Nikoleta Trajković,-trajković,,,Direktor kvaliteta,Ljupka Petrović,https://www.linkedin.com/in/ljupka-petrovic,,,Lead Produccion Planner,Vladanka Jagličić,https://www.linkedin.com/in/vladanka-jaglicic,,,24-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za DODATNI KONTAKTIProject Manager:Predrag BjeljacLinkedIn+381 (0)63 11 58 061TelefonMailp.bjeljac@alfatecnics.netDirektor kontrole kvaliteta:Dimitrije SlavkovićLinkedInhttps://www.linkedin.com/in/dimitrije-slavkovicTelefon+381 62 11 58 048Maild.slavkovic@alfatecnics.net
SAMOSTALNA ZANATSKA RADNJA ALINOKS SAŠA MARKOVIĆ PREDUZETNIK BELICA,SAMOSTALNA ZANATSKA RADNJA ALINOKS SAŠA MARKOVIĆ PREDUZETNIK BELICA,35273 BUNAR Jagodina,61936912,105830621,325-9500700195843-98,Preduzetnik,20.11.2008.,Mašinska obrada metala,+381 64 2121 390,,,Bave se mašinskom obradom metala proizvode alata za livenje i kalupe za plastiku.,MASINSKA OBRADA METALA,Vlasnik,Saša Marković,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,12-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA MAŠINSKE RADOVE ALMING DOO UŽICE,ALMING DOO UŽICE,MILOŠA B.JANKOVIĆA 13 31000 Užice,20600101,106429778,325-9500500393692-95,Društvo sa ograničenom odgovornošću,11.1.2010.,Mašinska obrada metala,+381 (031) 552 008,draganbj@mts.rs,,Osnovna delatnost je mašinska obrada metala.Izrađuju delove od plastike za mašinsku industriju.Vlasnik:Dragan Mićić,MASINSKA OBRADA METALA,Vlasnik,Dragan Mićić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,06-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
ALUMIL YU INDUSTRY AD NOVA PAZOVA,ALUMIL YU INDUSTRY AD NOVA PAZOVA,Vojački put 3 22330 Nova Pazova,17343521,102033646,220-8258100000063-80,Akcionarsko društvo,12.7.2001.,Proizvodnja metalnih konstrukcija i delova konstrukcija,022/321-302,, alumilyuindustry@alumil.com,Kompanija se bavi dizajnom i proizvodnjom aluminijumskih arhitektonskih sistema. PROIZVODI:Primena u transportnoj industrijiSistemi skela i merdevinaPrimena aluminijuma u nauticiGrejanje klimatizacija i ventilacijaMerna opremaSistemi zavesaInženjerska opremaOsvetljenjeSistemi vrtnih vrataZimske bašteSolarni paneliTuš kabineGaražna vrataKomarniciSistemi zaključavanjaSistemi ogradaRashladni uređajiPodne oblogeNameštajSuncobraniReklameZvučne barijereUSLUGE:Ekstruzija aluminijumaMašinska obradaPovršinska obradaSpajanje profilaU VLASNIŠTVU:ALUSYS INTERNATIONAL AGALUMIL ALUMINIUM INDUSTRY S.A. ALUMIL GROUP LTD,MASINSKA OBRADA METALA,Managing Director,Stylianos Tsoktouridis,/stylianos-tsoktouridis,,,Purchasing Manager,Snežana Angelevski,/snezana-angelevski,,,Quality Control Manager,Miodrag Pešić,/miodrag-pešić,,,Inženjer tehničke pripreme,Nemanja Poluga,/nemanja-poluga,,,03-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
AMM MANUFACTURING DOO LUŽNICE,AMM MANUFACTURING DOO,Aleja Milanović bb 34325 LUŽNICE,21341177,110351317,170-0030042928000-48,Društvo sa ograničenom odgovornošću,29.11.2017.,Mašinska obrada metala,+ 381 34 25 72 75,www. test.amm.rs , office@amm.rs,Bave se mašinskom obradom metala.,MASINSKA OBRADA METALA,Continuous improvement engineer,Ivan Cvetkovic,https://www.linkedin.com/in/ivan-cvetkovic,,,Procurement Manager,Aleksandar Srejović,https://www.linkedin.com/in/aleksandar-srejovic,,,Production Manager,Nikola Vasiljević,https://www.linkedin.com/in/nikola-vasiljevic,,,Supplier Quality Engineer,Nikola Filić,https://www.linkedin.com/in/nikolafilić1994,,,10-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za DODATNI KONTAKTIHead of Mechanical Design Engineering:Katarina VasiljevićLinkedInhttps://www.linkedin.com/in/katarina-vasiljevicTelefonMailQuality Continuous Improvement Automotive Railway Industry Welding:Dubravko JašićLinkedInhttps://www.linkedin.com/in/dubravko-jasicTelefonMailHead of Continuous Process Improvement Department:Milan JordanovićLinkedInhttps://www.linkedin.com/in/milan-jordanovicTelefonMailmilan87jordanovic@gmail.comProcurement Manager:Saša Mulalić LinkedInhttps://www.linkedin.com/in/saša-mulalićTelefonMailQuality Manager:Bratislav PetrovićLinkedInhttps://www.linkedin.com/in/bratislav-petrovicTelefon+381604891326Mailbraca.p@gmail.comProject Manager:Petar Ljušić LinkedInhttps://www.linkedin.com/in/petar-ljušićTelefonMail
PREDUZEĆE ZA PROIZVODNJU PROJEKTOVANJE INŽENJERING SPOLJNU I UNUTRAŠNJU TRGOVINU I USLUGE ASBV-TERMOTEHNIKA DOO BEOGRAD (ZVEZDARA),ASBV-TERMOTEHNIKA DOO BEOGRAD,JOVANA ĆIRILOVA 10 11120 BEOGRAD,20133996,104267825,160-0053400036493-37,Društvo sa ograničenom odgovornošću,22.2.2006.,Mašinska obrada metala,+381 (11) 2408830+381 (62) 2423 08+381 (64) 4570 619,, asbv@sbb.rs,USLUGE:SERVIS INDUSTRIJSKE ARMATURE (Servisiramo zaporne ventile regulacione ventile sigurnosne ventile zasune itd)MAŠINSKA OBRADA KRAJEVA CEVIVALCOVANJE CEVIPROIZVODI:OPREMA ZA REMONT I ISPITIVANJE CEVNE ARMATUREMAŠINE ZA OBRADU KRAJEVA CEVI (Mašine i alati za valcovanje cevi Mašine za obradu krajeva cevi Oprema za čupanje cevi)MASINE ZA OBRADU PRIRUBNICAOPREMA ZA PROIZVODNJU I REMONT IZMENJIVAČA TOPLOTEMAŠINE ZA OBRADU IVICA LIMAMAŠINE ZA SEČENJE CEVIHIDRAULIČNA OPREMA ZA PRITEZANJE ZAVRTNJEVA (HIDRAULIČNI MOMENT KLJUČEVI TENZIONERI…)HIDRAULIČNA OPREMA ZA PODIZANJE (Hidraulični cilindri i dizalice Visoko-pritisne hidraulične ručne pumpe Visoko-pritisne hidraulične pumpe (sa električnim pneumatskim benziskim i baterijskim pogonom) Ventili creva i komponente)HIDRAULIČNI ALATI I SISTEMI (Hidraulični sekači navrtki Oprema za ispitivanje i geotehnička oprema Hidraulične stege Hidraulične prese)UREĐAJI ZA OTVARANJE I ZATVARANJE VENTILAOPREMA ZA ISPITIVANJE CEVI POD PRITISKOMOPREMA ZA DIZANJE TERETA (Ručne električne i pneumatske lančane dizalice Tekstilne sajle (pljosnate i okrugle sajle zatezni kaiševi) Čelične sajle i pribor Čelična užad Kanapi Lanci i pribor Stege Vitla vučne dizalice i koturače Konektori magneti i vage Viljuškari i teretna kolica Dizalice i grede)ZAPTIVNI I TERMOIZOLACIONI MATERIJALI (Zaptivne pletenice Industrijske mehaničke zaptivače Trake za zaptivanje spojeva Prirodni grafit Grafitne materijale i opremu)OPREMA ZA REMONT ŽELEZNIČKIH ŠINA,MASINSKA OBRADA METALA,Direktor,Budimka Ječmenica,,,,Business Coordinator,Mirjana Milošević,https://www.linkedin.com/in/mirjana-milosevic,,,Direktor kvaliteta,,,,,Project manager,,,,,06-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MARIJETA ILIĆ PREDUZETNIK MAŠINSKA OBRADA METALA ATDA-ILIĆ STARI BANOVCI,MARIJETA ILIĆ PREDUZETNIK ATDA-ILIĆ,Živana Manojlovića 11 22303 BANOVCI DUNAV,65199122,111112440,340-0000011424031-71,Preduzetnik,24.10.2018.,Mašinska obrada metala,063/244-609062 351 534,marijetailic@gmail.com,,Obrada i prevlačenje metala i opšti mašinski radoviVlasnik:Marijeta Ilić,MASINSKA OBRADA METALA,Vlasnik,Marijeta Ilić,,,marijetailic@gmail.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,22-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I TRGOVINU CNC CENTAR DOO KRUŠEVAC,CNC CENTAR DOO KRUŠEVAC,Kneza Miloša 42A 37000 KRUŠEVAC,20528397,106066508,265-4210310003982-04,Društvo sa ograničenom odgovornošću,22.4.2009.,Mašinska obrada metala,+381 37 34 63 222+381 69 131 33 33,, zajic@gmx.ch,USLUGE: Struganje GlodanjeBušenjeZavarivanje,MASINSKA OBRADA METALA,Vlasnici,Aleksandra ZajićGoran Zajić,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,07-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU CNC OBRADA VELIKO ORAŠJE,CNC OBRADA DOO,AVALSKA BB 11323 Veliko Orašje,21644439,112296741,160-6000001605799-60,Društvo sa ograničenom odgovornošću,6.1.2021.,Mašinska obrada metala,+381 26 4150352+381 63 8499495,, office@cncobrada.com,Bave se izradom mašinskih delova prema tehničkoj dokumentaciji.USLUGE:1. CNC Glodanje2. CNC Struganje3. Montaža sklopova (mehanička montaža)3. Različite površinske obrade kao što su,MASINSKA OBRADA METALA,Direktor,Marko Matić,,,,Head of Operations and Logistics,Stefan Stojadinović,https://www.linkedin.com/in/stefan-stojadinovic,,,Direktor kvaliteta,,,,,Project manager,,,,,13-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DAVAX DOO ZA PROIZVODNJU TRGOVINU I USLUGE KAĆ,DAVAX DOO KAĆ,ATAR 106 21241 Kać,20260785,104874872,220-2030200022371-40,Društvo sa ograničenom odgovornošću,23.2.2007.,Mašinska obrada metala,+381(21) 6212 644+381 (21) 6210 127,, info@davax.rs,Davax doo se bavi preciznom mašinskom obradom i montažom finih mehaničkih komponenti.USLUGE:struganjeglodanje (horizontalno i vertikalno)montaža,MASINSKA OBRADA METALA,Direktor,Rade PaunovićZamenik direktora,,,,Production Manager,Danilo Janjatović,/danilo-janjatovic,,,Production Manager,Dragan Garić,/dragan-garic,,,Human Resources Manager,Milka Ivić,/milka-ivic,+381 21 621 2644,,05-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
IVAN MITROVIĆ PR MAŠINBRAVARSKA RADIONICA DDM METALING LESKOVAC,IVAN MITROVIĆ PR MAŠINBRAVARSKA RADIONICA DDM METALING LESKOVAC,Vojvode Mišića 39 14234 Leskovac,63851256,108997421,250-3060003185780-02,Preduzetnik,22.5.2015.,Mašinska obrada metala,+381 (0) 16 602 760+381 (0) 63 81 36 086 +381 (0) 63 633 320,www. ddmmetaling.rs , office@ddmmetaling.rs,DDM METALING se bavi mašinskom obradom metala proizvodnjom metalnog nameštaja i opreme za wiring industriju.PROIZVODI:ViljuškeOsnovni elementi (cevasti nosač stalak sa navojem stopa za viljuške…)Drop Down (drop down klešta viljuška drop down viljuška drop down sa stopom…)Sklapajući elementi (sklopiva viljuška sklapajuća klešta viljuška cevasti nosač…,MASINSKA OBRADA METALA,Vlasnik,Ivan Mitrović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,28-02-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Delta Tehnik Marold d.o.o. Beočin,Delta Tehnik Marold d.o.o.,Omladinska 56 A 21300 Beočin,20928930,108086497,190-0070100058292-88,Društvo sa ograničenom odgovornošću,24.5.2013.,Mašinska obrada metala,+381 21 871 705+381 21 870 337,www. deltatehnik.rs , beric.deltatehnik@gmail.com,PROIZVODI:Delovi ZF menjača svih veličinaDelovi reduktora ZF Delovi diferencijalaDelovi kvačila Delovi motora i remenice  motorne kočnice i ploče kompresora Kardanski krstoviReparatur garniture rukavca prednjeg trapaReparatur garniture za ušice gibnjaReparatur garniture upornih poluga i silent blokoviVarijatorske remenice za procesnu industrijuUSLUGE:Projektovanje mašinskih sistema upotrebom CAD/CAM/CAE softverskih alataIzradu tehničke dokumentacije i tehničkih uputstava u papirnom i elektronskom oblikuTehničke proračune projekataStručnu i savetodavnu pomoć prilikom projektovanja (u svim fazama rada)Razvoj kompletnih mašinskih sistema (proizvoda delova) do nivoa radioničke dokumentacije,MASINSKA OBRADA METALA,Direktor,Slobodan Berić,,,,Production Engineer,Davor Krstić,https://www.linkedin.com/in/davor-krstić,,,Technologist/Designer,Milan Urošević,https://www.linkedin.com/in/milan-urošević,,,Manufacturing Engineer,Stevica Koledin,https://www.linkedin.com/in/stevica-koledin,,,11-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
